
time;gfx;gFy;gFz;Bx;By;Bz;
2,3730;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,3890;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,4040;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,4150;0,0059;-0,0782;0,9890;13,0000;0,7500;41,7500;
2,4200;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4210;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4320;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4460;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4660;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4820;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,4920;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,5050;0,0020;-0,0958;0,9890;13,0000;0,7500;41,7500;
2,5350;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5350;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5400;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5490;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5600;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5690;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5800;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,5890;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,6000;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,6100;0,0020;-0,0958;0,9890;13,2500;2,2500;41,5000;
2,6190;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6200;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6220;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6290;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6400;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6490;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6610;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6690;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6800;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,6890;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,7000;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,7090;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,7210;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,7290;0,0098;-0,1114;0,9870;13,2500;2,2500;41,5000;
2,7340;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7410;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7490;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7610;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7690;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7810;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,7890;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,8010;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,8090;0,0098;-0,1114;0,9870;14,0000;2,2500;40,5000;
2,8240;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8250;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8270;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8310;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8460;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8630;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8720;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8810;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,8890;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,9010;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,9090;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,9210;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,9330;0,0078;-0,1016;0,9850;14,0000;2,2500;40,5000;
2,9350;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
2,9450;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
2,9550;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
2,9800;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
3,0020;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
3,0070;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
3,0090;0,0078;-0,1016;0,9850;13,7500;2,5000;41,2500;
3,0270;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0280;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0360;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0410;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0520;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0640;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0750;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0830;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,0980;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,1100;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,1220;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,1340;0,0059;-0,1055;0,9870;13,7500;2,5000;41,2500;
3,1380;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,1450;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,1580;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,1720;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,1840;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,1930;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,2030;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,2140;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,2260;0,0059;-0,1055;0,9870;13,7500;2,2500;40,7500;
3,2300;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,2310;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,2510;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,2640;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,2760;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,2990;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,3120;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,3220;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,3340;0,0059;-0,1036;0,9890;13,7500;2,2500;40,7500;
3,3450;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,3520;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,3690;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,3830;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,3930;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4040;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4130;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4250;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4280;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4290;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4390;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4510;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4630;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4750;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,4870;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,5050;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,5130;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,5240;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,5380;0,0059;-0,1036;0,9890;13,5000;1,5000;42,2500;
3,5440;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,5490;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,5630;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,5730;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,5840;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,5950;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,6040;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,6160;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,6260;0,0059;-0,1036;0,9890;12,5000;0,0000;41,7500;
3,6300;0,0039;-0,1036;0,9870;12,5000;0,0000;41,7500;
3,6310;0,0039;-0,1036;0,9870;12,5000;0,0000;41,7500;
3,6540;0,0039;-0,1036;0,9870;12,5000;0,0000;41,7500;
3,6660;0,0039;-0,1036;0,9870;12,5000;0,0000;41,7500;
3,6850;0,0039;-0,1036;0,9870;12,5000;0,0000;41,7500;
